薪资,福利,工作年限,工作标签,学历,城市,公司名称
8k-10k,六险一金 年底双薪 加班补助 带薪年假,1-3年,"['测试', '自动化']",本科,成都,亿达信息技术（深圳）有限公司
7k-13k,超速发展中 行业前景好 六险一金,1-3年,"['企业服务', '工具软件', 'Selenium', 'Jmeter', '自动化', '自动化测试']",本科,杭州,杭州雅顾科技有限公司
18k-26k,五险一金,5-10年,"['测试', 'Selenium', '自动化']",本科,上海,上海华钦信息科技股份有限公司
20k-30k,智慧物联领头羊、高大上办公环境,5-10年,['自动化'],本科,北京,北京汇通天下物联科技有限公司
10k-15k,周末双休、五险一金、大平台,3-5年,"['测试', '自动化', '脚本', '测试开发']",本科,成都,西安麻花网络技术有限公司
9k-16k,法定节假日、住房津贴、五险一金,3-5年,"['自动化测试', '测试', '软件测试']",不限,杭州,浙江东经科技股份有限公司
10k-15k,扁平化管理 上市公司 带薪休假,应届毕业生,"['测试', 'Windows测试', 'Web测试']",本科,杭州,浙江每日互动网络科技股份有限公司
10k-20k,"导师跟班,气氛活跃,境外旅游,福利多多",1-3年,"['移动端', '自动化', '性能测试']",本科,北京,北京夜神数娱科技有限公司
8k-15k,"知名团队,共同发展,福利好",1-3年,"['游戏', '移动互联网', 'Android测试', 'IOS测试', 'Server端测试', '客户端']",本科,上海,易玩（上海）网络科技有限公司
20k-30k,"福利佳,待遇好,美女如云,地铁周边",5-10年,"['移动互联网', '测试', '自动化']",本科,北京,北京四方启点科技有限公司
10k-20k,"五险一金,福利多多,健身房福利",3-5年,['自动化测试'],本科,杭州,浙江达摩网络科技有限公司
15k-20k,"学习成长快,团队氛围好,发展空间大,新兴行业",3-5年,"['保险', '大数据', '自动化', '测试', '测试开发']",本科,上海,上海商涌网络科技有限公司
8k-16k,"五险一金,商业保险,餐补,年终奖",3-5年,"['测试', '移动端']",本科,北京,北大医疗信息技术有限公司
12k-22k,外企13薪 社保公积金全额缴纳,1-3年,"['互联网金融', '银行', '自动化测试', '测试开发']",本科,上海,奥解思信息科技（上海）有限公司
17k-34k,"扁平化管理,团建旅游,带薪休假,五险一金",3-5年,"['云计算', '自动化', '测试']",本科,上海,上海骞云信息科技有限公司
学历,公司名称,城市,工作年限,福利,工作标签,薪资
本科,北京捷越联合信息咨询有限公司,北京,3-5年,六险一金 弹性打卡 零食水果,"['自动化', 'Jmeter']",15k-22k
本科,北京摩拜科技有限公司,北京,3-5年,"大厂,技术导向,摩拜任性骑",['测试'],15k-30k
